あべの松井クリニック,大阪市阿倍野区阿倍野筋１－５－３１　アポロビル５Ｆ,06-6647-2223,一般,
医療法人　吉田医院,大阪市阿倍野区阿倍野元町５―２２,06-6622-4709,一般,１２歳以上接種対応可
小松クリニック,大阪市阿倍野区王子町１―１０―２,06-6622-3258,一般,
医療法人山田医院,大阪市阿倍野区王子町二丁目１２番１４号,06-6622-3166,一般,１２歳以上接種対応可
潮見クリニック,大阪市阿倍野区阪南町１―３５―８,06-6627-3250,一般,１２歳以上接種対応可
いのうえ小児科　阪南クリニック,大阪市阿倍野区阪南町４－２－２０,,一般,１２歳以上接種対応可
医療法人西山会　にしやま消化器内科,大阪市阿倍野区阪南町５－２３－１８　ＨＩＫＡＲＩ　ＢＬＤ．,"医院のホームページ
からのみ予約受付",一般,
勇村医院,大阪市阿倍野区阪南町5-25-17,06-6691-2021,一般,
河島クリニック,大阪市阿倍野区三明町１―３―２６,06-7503-9862,一般,
すずかけの木クリニック,大阪市阿倍野区松崎町２－３－３７　松崎グリーンハイツ１０４,050-5305-5407,一般,
医療法人万代会　武田内科クリニック,大阪市阿倍野区松崎町２－９－５　セレスタ阿部野松崎１０３号,06-6480-9501,一般,
ふじわら眼科クリニック,大阪市阿倍野区西田辺町1-17-1 帝塚山クレバービル２F,06-6692-8957,一般,
すが内科クリニック,大阪市阿倍野区帝塚山１－６－２７　ルドウ・レスパスＭ３６,06-6625-0222,一般,
医療法人　西川医院,大阪市阿倍野区天王寺町北２―１６―１０,06-6714-5218,一般,
医療法人久保田医院,大阪市阿倍野区天王寺町北３―９―１８,06-6719-3277,一般,１２歳以上接種対応可
うさみクリニック,大阪市阿倍野区播磨町１―１９―９,06-6626-6533,一般,
医療法人馨秋会秋山内科,大阪市旭区高殿３―１５―１８,06-6953-3335,一般,１６歳以上接種対応可
髙垣医院,大阪市旭区今市2-15-6,06-6951-5105,一般,
斉藤医院,大阪市旭区新森2丁目2番6号,06-6955-5076,一般,
医療法人清水会　ミズノ胃腸科内科外科,大阪市旭区新森３―３―３１,06-6952-5058,一般,１２歳以上接種対応可
あおばおうちクリニック,大阪市旭区森小路１－１１－１０,070-1486-6611,一般,
医療法人たにぐちクリニック,大阪市旭区森小路２－３－２７　サンハイツ１階,06-6951-1717,一般,
服部医院,大阪市旭区森小路２―１８―１,070-8358-3839,一般,１２歳以上接種対応可
井口診療所,大阪市旭区森小路２―１８―４,06-6953-6789,一般,１２歳以上接種対応可
医療法人双樹会守上クリニック,大阪市旭区生江１―９ー１８,06-6927-1666,一般,
いくえ城北公園クリニック,大阪市旭区生江３－２８－２７,06-6923-2645,一般,１２歳以上接種対応可
医療法人輝晃会　北村医院,大阪市旭区赤川４ー１７ー５,06-6921-4061,一般,１２歳以上接種対応可
医療法人　榊原クリニック,大阪市旭区赤川二丁目１４番５号,06-6921-3037,一般,１２歳以上接種対応可
医療法人　永寿会　福島病院,大阪市旭区千林２―４―２２,06-6953-2940,一般,
医療法人桜医会　さくらクリニック,大阪市旭区大宮１―１３―９,06-6954-0707,一般,１２歳以上接種対応可
しまだ循環器・糖尿病内科クリニック,大阪市旭区大宮２－１７－１４　アイリス千林大宮３階,06-6958-5575,一般,１６歳以上接種対応可
龍神堂医院,大阪市港区港晴3-2-7,06-6571-0030,一般,１２歳以上接種対応可
古林内科,大阪市港区港晴三丁目１番８号ヴォーンルーエマンモス１階,06-6572-2332,一般,１２歳以上接種対応可
医療法人ゆうあい会宮岡クリニック,大阪市港区市岡１―１４―１６,06-6571-3506,一般,１２歳以上接種対応可
社会福祉法人秀生会　ザイオン大阪港クリニック,大阪市港区築港1丁目9番7号,06-6576-8802,一般,
医療法人　生野内科クリニック,大阪市港区波除２―９―１２,06-6581-4181,一般,１２歳以上接種対応可
医療法人隆明会　やぎクリニック,大阪市港区八幡屋１－１１－１０　シカタビル２階,06-6599-1131,一般,
医療法人三愛会 中山整形外科,大阪市港区弁天４－５－３,06-6573-9585,一般,
医療法人誠昌会　えさきクリニック,大阪市港区夕凪2-16-9　ポートビル1階,06-6599-0115,一般,１２歳以上接種対応可
内科クリニック大西循環器科消化器科,大阪市此花区四貫島1-5-11セントビル3階,06-6464-9330,一般,
やまさきクリニック,大阪市此花区四貫島１－９－１０ セントラルプラザ２Ｆ,06-6462-1212,一般,
医療法人寛友会　菊守耳鼻咽喉科,大阪市此花区四貫島１―９―１０ セントラルプラザ２階,06-6462-8711,一般,１２歳以上接種対応可
医療法人小山医院,大阪市此花区春日出中2-16-23,080-5786-4941,一般,１２歳以上接種対応可
はやしだ診療所,大阪市此花区春日出中2-17-8,06-6463-3299,一般,
医療法人　板東医院,大阪市此花区春日出中２―１８―２２,06-6461-4295,一般,１２歳以上接種対応可
医療法人島村診療所,大阪市此花区春日出北２ー１８ー５,06-4804-3173,一般,
医療法人　藤井内科医院,大阪市此花区西九条１―３４―１９,06-6462-1913,一般,
医療法人やすだ医院,大阪市此花区西九条３―８―１１,06-6463-5446,一般,
よねだ内科・皮フ科,大阪市此花区西九条４－３－３４ セントメディックビル３階,06-6466-1001,一般,１２歳以上接種対応可
社会福祉法人大阪暁明館　大阪暁明館病院,大阪市此花区西九条５－４－８,"医院のホームページ
からのみ予約受付",一般,１２歳以上接種対応可
医療法人村川医院,大阪市此花区伝法２ー４ー２９,"06-6463-1222
06-4804-3181",一般,１２歳以上接種対応可
医療法人晴恵会　安田クリニック,大阪市此花区伝法２ー５ー１,06-6463-1000,一般,１２歳以上接種対応可
医療法人　石見医院,大阪市此花区伝法５―４―６０,06-6468-9333,一般,
医療法人医方会　奥見診療所,大阪市此花区伝法６―３―２―１０１,06-6468-9589,一般,１２歳以上接種対応可
医療法人尚清会谷本医院,大阪市此花区酉島３－１８－２２,06-6469-1077,一般,１２歳以上接種対応可
医療法人　森内科,大阪市此花区梅香３―３３―１４,06-6460-5671,一般,１２歳以上接種対応可
沢井産婦人科医院,大阪市住吉区遠里小野３―４―８,06-6694-1115,一般,１２歳以上接種対応可
浦島医院,大阪市住吉区遠里小野４―９―１０,06-6696-0341,一般,
医療法人順風会　あびこ森村クリニック,大阪市住吉区我孫子1-7-6　,,一般,
医療法人銀嶺会　土田クリニック,大阪市住吉区我孫子西2-2-20,06-6608-0119,一般,
